Conta:;14154 - 2.1.1.01.001 - 6M BRASIL IMPORTACAO E EXPORTACAO LTDA;;;;;
13/09/2023;NOTA FISCAL N§ 791421 ;3152;0923-00000847;;64,08;114.649,18C
13/09/2023;NOTA FISCAL N§ 791420 ;3152;0923-00000850;;17,76;114.666,94C
13/09/2023;NOTA FISCAL N§ 791423 ;3152;0923-00000866;;113,3;114.780,24C
14/09/2023;NOTA FISCAL N§ 796697 ;3152;0923-00000816;;354,9;115.135,14C
14/09/2023;NOTA FISCAL N§ 796700 ;3152;0923-00000834;;82,55;115.217,69C
14/09/2023;NOTA FISCAL N§ 796701 ;3152;0923-00000848;;294,68;115.512,37C
14/09/2023;NOTA FISCAL N§ 796698 ;3152;0923-00000867;;659,58;116.171,95C
15/09/2023;NOTA FISCAL N§ 799334 ;3152;0923-00000800;;241,62;116.413,57C
15/09/2023;NOTA FISCAL N§ 796699 ;3152;0923-00000805;;178,14;116.591,71C
15/09/2023;NOTA FISCAL N§ 799334 ;3152;0923-00000819;;838,13;117.429,84C
15/09/2023;NOTA FISCAL N§ 799332 ;3152;0923-00000854;;632,86;118.062,70C
15/09/2023;NOTA FISCAL N§ 799333 ;3152;0923-00000868;;502,38;118.565,08C
18/09/2023;NOTA FISCAL N§ 800733 ;3152;0923-00000809;;250,11;118.815,19C
18/09/2023;NOTA FISCAL N§ 800732 ;3152;0923-00000833;;434,07;119.249,26C
18/09/2023;NOTA FISCAL N§ 800734 ;3152;0923-00000869;;159,24;119.408,50C
19/09/2023;NOTA FISCAL N§ 802501 ;3152;0923-00000822;;25,06;119.433,56C
19/09/2023;NOTA FISCAL N§ 802502 ;3152;0923-00000824;;96,67;119.530,23C
19/09/2023;NOTA FISCAL N§ 802500 ;3152;0923-00000844;;56,23;119.586,46C
19/09/2023;NOTA FISCAL N§ 802503 ;3152;0923-00000872;;331,16;119.917,62C
20/09/2023;NOTA FISCAL N§ 805886 ;3152;0923-00000789;;95,79;120.013,41C
20/09/2023;NOTA FISCAL N§ 805895 ;3152;0923-00000794;;85,05;120.098,46C
20/09/2023;NOTA FISCAL N§ 805891 ;3152;0923-00000799;;57,8;120.156,26C
20/09/2023;NOTA FISCAL N§ 805893 ;3152;0923-00000808;;84,62;120.240,88C
20/09/2023;NOTA FISCAL N§ 805895 ;3152;0923-00000810;;439,48;120.680,36C
20/09/2023;NOTA FISCAL N§ 805886 ;3152;0923-00000812;;379,45;121.059,81C
20/09/2023;NOTA FISCAL N§ 805885 ;3152;0923-00000817;;2.263,42;123.323,23C
20/09/2023;NOTA FISCAL N§ 805883 ;3152;0923-00000827;;29,6;123.352,83C
20/09/2023;NOTA FISCAL N§ 805890 ;3152;0923-00000832;;386,45;123.739,28C
20/09/2023;NOTA FISCAL N§ 805894 ;3152;0923-00000835;;117,46;123.856,74C
20/09/2023;NOTA FISCAL N§ 805889 ;3152;0923-00000836;;55,81;123.912,55C
20/09/2023;NOTA FISCAL N§ 805887 ;3152;0923-00000856;;207,85;124.120,40C
20/09/2023;NOTA FISCAL N§ 805892 ;3152;0923-00000859;;142,39;124.262,79C
20/09/2023;NOTA FISCAL N§ 805888 ;3152;0923-00000864;;88,86;124.351,65C
20/09/2023;NOTA FISCAL N§ 805884 ;3152;0923-00000873;;1.343,31;125.694,96C
21/09/2023;NOTA FISCAL N§ 808158 ;3152;0923-00000791;;19,42;125.714,38C
21/09/2023;NOTA FISCAL N§ 808164 ;3152;0923-00000804;;55,06;125.769,44C
21/09/2023;NOTA FISCAL N§ 808167 ;3152;0923-00000813;;67,06;125.836,50C
21/09/2023;NOTA FISCAL N§ 808162 ;3152;0923-00000818;;190,38;126.026,88C
21/09/2023;NOTA FISCAL N§ 808158 ;3152;0923-00000831;;227,29;126.254,17C
21/09/2023;NOTA FISCAL N§ 808159 ;3152;0923-00000837;;218,52;126.472,69C
21/09/2023;NOTA FISCAL N§ 808166 ;3152;0923-00000841;;68,44;126.541,13C
21/09/2023;NOTA FISCAL N§ 808163 ;3152;0923-00000843;;1.420,59;127.961,72C
21/09/2023;NOTA FISCAL N§ 808160 ;3152;0923-00000870;;585,24;128.546,96C
21/09/2023;NOTA FISCAL N§ 808157 ;3152;0923-00000871;;155,68;128.702,64C
21/09/2023;NOTA FISCAL N§ 808161 ;3152;0923-00000875;;52,9;128.755,54C
21/09/2023;NOTA FISCAL N§ 808165 ;3152;0923-00000876;;83,78;128.839,32C
22/09/2023;NOTA FISCAL N§ 810420 ;3152;0923-00000792;;313,67;129.152,99C
22/09/2023;NOTA FISCAL N§ 810429 ;3152;0923-00000795;;864,28;130.017,27C
22/09/2023;NOTA FISCAL N§ 810426 ;3152;0923-00000797;;231,88;130.249,15C
22/09/2023;NOTA FISCAL N§ 810428 ;3152;0923-00000798;;156,84;130.405,99C
22/09/2023;NOTA FISCAL N§ 810425 ;3152;0923-00000807;;30,61;130.436,60C
22/09/2023;NOTA FISCAL N§ 810426 ;3152;0923-00000811;;342,71;130.779,31C
22/09/2023;NOTA FISCAL N§ 810421 ;3152;0923-00000814;;144,75;130.924,06C
22/09/2023;NOTA FISCAL N§ 810428 ;3152;0923-00000828;;32,81;130.956,87C
22/09/2023;NOTA FISCAL N§ 810424 ;3152;0923-00000840;;17,76;130.974,63C
22/09/2023;NOTA FISCAL N§ 810423 ;3152;0923-00000846;;96,38;131.071,01C
22/09/2023;NOTA FISCAL N§ 810419 ;3152;0923-00000849;;249,6;131.320,61C
22/09/2023;NOTA FISCAL N§ 810422 ;3152;0923-00000860;;460,44;131.781,05C
22/09/2023;NOTA FISCAL N§ 810427 ;3152;0923-00000861;;129,56;131.910,61C
22/09/2023;NOTA FISCAL N§ 808168 ;3152;0923-00000863;;35,03;131.945,64C
22/09/2023;NOTA FISCAL N§ 810420 ;3152;0923-00000865;;2.135,33;134.080,97C
23/09/2023;NOTA FISCAL N§ 812409 ;3152;0923-00000852;;634,06;134.715,03C
23/09/2023;NOTA FISCAL N§ 812410 ;3152;0923-00000862;;56,23;134.771,26C
27/09/2023;NOTA FISCAL N§ 816519 ;3152;0923-00000825;;182,73;134.953,99C
28/09/2023;NOTA FISCAL N§ 818090 ;3152;0923-00000790;;82,18;135.036,17C
28/09/2023;NOTA FISCAL N§ 818090 ;3152;0923-00000858;;54,47;135.090,64C
04/10/2023;NOTA FISCAL N§ 825266 ;3152;1023-00000664;;131,32;135.221,96C
04/10/2023;NOTA FISCAL N§ 825266 ;3152;1023-00000668;;56,65;135.278,61C
04/10/2023;NOTA FISCAL N§ 822930 ;3152;1023-00000671;;115,93;135.394,54C
04/10/2023;NOTA FISCAL N§ 825269 ;3152;1023-00000684;;95,96;135.490,50C
04/10/2023;NOTA FISCAL N§ 825268 ;3152;1023-00000686;;1.167,77;136.658,27C
04/10/2023;NOTA FISCAL N§ 825267 ;3152;1023-00000690;;89,89;136.748,16C
05/10/2023;NOTA FISCAL N§ 827382 ;3152;1023-00000667;;202,59;136.950,75C
05/10/2023;NOTA FISCAL N§ 827383 ;3152;1023-00000678;;634,06;137.584,81C
10/10/2023;NOTA FISCAL N§ 833268 ;3152;1023-00000673;;182,73;137.767,54C
11/10/2023;NOTA FISCAL N§ 837054 ;3152;1023-00000670;;273,21;138.040,75C
13/10/2023;NOTA FISCAL N§ 839235 ;3152;1023-00000666;;261,54;138.302,29C
13/10/2023;NOTA FISCAL N§ 839236 ;3152;1023-00000677;;267,18;138.569,47C
17/10/2023;NOTA FISCAL N§ 844158 ;3152;1023-00000683;;634,06;139.203,53C
18/10/2023;NOTA FISCAL N§ 846686 ;3152;1023-00000680;;154,09;139.357,62C
18/10/2023;NOTA FISCAL N§ 846687 ;3152;1023-00000681;;386,35;139.743,97C
19/10/2023;NOTA FISCAL N§ 848661 ;3152;1023-00000675;;114,4;139.858,37C
20/10/2023;NOTA FISCAL N§ 850559 ;3152;1023-00000674;;634,06;140.492,43C
21/10/2023;NOTA FISCAL N§ 852136 ;3152;1023-00000679;;112,08;140.604,51C
25/10/2023;NOTA FISCAL N§ 853697 ;3152;1023-00000665;;162,67;140.767,18C
25/10/2023;NOTA FISCAL N§ 856427 ;3152;1023-00000672;;207,51;140.974,69C
25/10/2023;NOTA FISCAL N§ 856426 ;3152;1023-00000685;;849,86;141.824,55C
25/10/2023;NOTA FISCAL N§ 856425 ;3152;1023-00000687;;742,59;142.567,14C
25/10/2023;NOTA FISCAL N§ 856429 ;3152;1023-00000688;;142,85;142.709,99C
25/10/2023;NOTA FISCAL N§ 856428 ;3152;1023-00000689;;195,61;142.905,60C
26/10/2023;NOTA FISCAL N§ 858222 ;3152;1023-00000682;;170,4;143.076,00C
27/10/2023;NOTA FISCAL N§ 860258 ;3152;1023-00000669;;227,45;143.303,45C
27/10/2023;NOTA FISCAL N§ 860259 ;3152;1023-00000676;;79,25;143.382,70C
01/11/2023;NOTA FISCAL N§ 866491 ;3152;1123-00000525;;138,6;143.521,30C
01/11/2023;NOTA FISCAL N§ 866492 ;3152;1123-00000537;;108,85;143.630,15C
01/11/2023;NOTA FISCAL N§ 863907 ;3152;1123-00000567;;35,52;143.665,67C
03/11/2023;NOTA FISCAL N§ 868882 ;3152;1123-00000516;;19,42;143.685,09C
03/11/2023;NOTA FISCAL N§ 868881 ;3152;1123-00000530;;115,44;143.800,53C
03/11/2023;NOTA FISCAL N§ 868879 ;3152;1123-00000536;;202,59;144.003,12C
03/11/2023;NOTA FISCAL N§ 868878 ;3152;1123-00000545;;569,1;144.572,22C
03/11/2023;NOTA FISCAL N§ 868884 ;3152;1123-00000547;;156,94;144.729,16C
03/11/2023;NOTA FISCAL N§ 868877 ;3152;1123-00000550;;271,6;145.000,76C
03/11/2023;NOTA FISCAL N§ 868882 ;3152;1123-00000552;;219,11;145.219,87C
03/11/2023;NOTA FISCAL N§ 868883 ;3152;1123-00000570;;50,44;145.270,31C
03/11/2023;NOTA FISCAL N§ 868885 ;3152;1123-00000575;;117,88;145.388,19C
03/11/2023;NOTA FISCAL N§ 868880 ;3152;1123-00000585;;153,5;145.541,69C
06/11/2023;NOTA FISCAL N§ 871663 ;3152;1123-00000519;;63,11;145.604,80C
06/11/2023;NOTA FISCAL N§ 871664 ;3152;1123-00000521;;201,06;145.805,86C
06/11/2023;NOTA FISCAL N§ 871662 ;3152;1123-00000522;;78,73;145.884,59C
06/11/2023;NOTA FISCAL N§ 871668 ;3152;1123-00000566;;120,43;146.005,02C
06/11/2023;NOTA FISCAL N§ 871665 ;3152;1123-00000569;;223,86;146.228,88C
06/11/2023;NOTA FISCAL N§ 871660 ;3152;1123-00000571;;634,06;146.862,94C
06/11/2023;NOTA FISCAL N§ 871661 ;3152;1123-00000573;;634,06;147.497,00C
06/11/2023;NOTA FISCAL N§ 871666 ;3152;1123-00000590;;50,28;147.547,28C
06/11/2023;NOTA FISCAL N§ 871667 ;3152;1123-00000592;;189,77;147.737,05C
06/11/2023;NOTA FISCAL N§ 871659 ;3152;1123-00000593;;169,68;147.906,73C
07/11/2023;NOTA FISCAL N§ 874549 ;3152;1123-00000531;;95,02;148.001,75C
07/11/2023;NOTA FISCAL N§ 874547 ;3152;1123-00000577;;143,36;148.145,11C
07/11/2023;NOTA FISCAL N§ 874546 ;3152;1123-00000587;;40,73;148.185,84C
07/11/2023;NOTA FISCAL N§ 874548 ;3152;1123-00000591;;213,48;148.399,32C
08/11/2023;NOTA FISCAL N§ 877928 ;3152;1123-00000523;;156,44;148.555,76C
08/11/2023;NOTA FISCAL N§ 877928 ;3152;1123-00000527;;4.586,20;153.141,96C
08/11/2023;NOTA FISCAL N§ 877929 ;3152;1123-00000544;;209,38;153.351,34C
08/11/2023;NOTA FISCAL N§ 877930 ;3152;1123-00000553;;435,78;153.787,12C
09/11/2023;NOTA FISCAL N§ 880248 ;3152;1123-00000578;;2.128,08;155.915,20C
10/11/2023;NOTA FISCAL N§ 883575 ;3152;1123-00000524;;209,5;156.124,70C
10/11/2023;NOTA FISCAL N§ 883574 ;3152;1123-00000560;;52,33;156.177,03C
13/11/2023;NOTA FISCAL N§ 885986 ;3152;1123-00000559;;78,54;156.255,57C
13/11/2023;NOTA FISCAL N§ 885987 ;3152;1123-00000572;;163,84;156.419,41C
16/11/2023;NOTA FISCAL N§ 888129 ;3152;1123-00000520;;48,9;156.468,31C
16/11/2023;NOTA FISCAL N§ 892283 ;3152;1123-00000528;;82,48;156.550,79C
16/11/2023;NOTA FISCAL N§ 888129 ;3152;1123-00000532;;139,13;156.689,92C
16/11/2023;NOTA FISCAL N§ 888131 ;3152;1123-00000534;;93,95;156.783,87C
16/11/2023;NOTA FISCAL N§ 892277 ;3152;1123-00000539;;198,32;156.982,19C
16/11/2023;NOTA FISCAL N§ 892282 ;3152;1123-00000540;;21,28;157.003,47C
16/11/2023;NOTA FISCAL N§ 888130 ;3152;1123-00000554;;182,82;157.186,29C
16/11/2023;NOTA FISCAL N§ 892279 ;3152;1123-00000561;;223,86;157.410,15C
16/11/2023;NOTA FISCAL N§ 888132 ;3152;1123-00000563;;57,42;157.467,57C
16/11/2023;NOTA FISCAL N§ 892281 ;3152;1123-00000582;;101,95;157.569,52C
16/11/2023;NOTA FISCAL N§ 892280 ;3152;1123-00000586;;75,05;157.644,57C
16/11/2023;NOTA FISCAL N§ 892278 ;3152;1123-00000594;;103,81;157.748,38C
17/11/2023;NOTA FISCAL N§ 888128 ;3152;1123-00000518;;118,89;157.867,27C
20/11/2023;NOTA FISCAL N§ 895240 ;3152;1123-00000517;;16,58;157.883,85C
20/11/2023;NOTA FISCAL N§ 899206 ;3152;1123-00000526;;145,29;158.029,14C
20/11/2023;NOTA FISCAL N§ 899204 ;3152;1123-00000533;;838,68;158.867,82C
20/11/2023;NOTA FISCAL N§ 895238 ;3152;1123-00000538;;1.044,19;159.912,01C
20/11/2023;NOTA FISCAL N§ 895239 ;3152;1123-00000543;;340,04;160.252,05C
20/11/2023;NOTA FISCAL N§ 895242 ;3152;1123-00000557;;170,82;160.422,87C
20/11/2023;NOTA FISCAL N§ 895241 ;3152;1123-00000584;;52,37;160.475,24C
20/11/2023;NOTA FISCAL N§ 899205 ;3152;1123-00000588;;22,1;160.497,34C
20/11/2023;NOTA FISCAL N§ 899207 ;3152;1123-00000589;;247,78;160.745,12C
22/11/2023;NOTA FISCAL N§ 902020 ;3152;1123-00000535;;122,24;160.867,36C
22/11/2023;NOTA FISCAL N§ 902018 ;3152;1123-00000546;;45,02;160.912,38C
22/11/2023;NOTA FISCAL N§ 902023 ;3152;1123-00000548;;17,1;160.929,48C
22/11/2023;NOTA FISCAL N§ 902019 ;3152;1123-00000549;;17,76;160.947,24C
22/11/2023;NOTA FISCAL N§ 902024 ;3152;1123-00000558;;37,39;160.984,63C
22/11/2023;NOTA FISCAL N§ 905220 ;3152;1123-00000565;;125,79;161.110,42C
22/11/2023;NOTA FISCAL N§ 902021 ;3152;1123-00000580;;109,22;161.219,64C
23/11/2023;NOTA FISCAL N§ 908215 ;3152;1123-00000541;;9,41;161.229,05C
24/11/2023;NOTA FISCAL N§ 902022 ;3152;1123-00000555;;321,2;161.550,25C
27/11/2023;NOTA FISCAL N§ 913011 ;3152;1123-00000568;;10,59;161.560,84C
27/11/2023;NOTA FISCAL N§ 913009 ;3152;1123-00000576;;148,14;161.708,98C
27/11/2023;NOTA FISCAL N§ 913010 ;3152;1123-00000579;;82,46;161.791,44C
28/11/2023;NOTA FISCAL N§ 915192 ;3152;1123-00000556;;169,68;161.961,12C
28/11/2023;NOTA FISCAL N§ 915191 ;3152;1123-00000562;;432,99;162.394,11C
28/11/2023;NOTA FISCAL N§ 915193 ;3152;1123-00000574;;66,42;162.460,53C
28/11/2023;NOTA FISCAL N§ 915194 ;3152;1123-00000583;;209,17;162.669,70C
29/11/2023;NOTA FISCAL N§ 917781 ;3152;1123-00000515;;43,75;162.713,45C
29/11/2023;NOTA FISCAL N§ 917781 ;3152;1123-00000529;;146,72;162.860,17C
29/11/2023;NOTA FISCAL N§ 917780 ;3152;1123-00000542;;273,21;163.133,38C
29/11/2023;NOTA FISCAL N§ 917779 ;3152;1123-00000551;;172,17;163.305,55C
30/11/2023;NOTA FISCAL N§ 919967 ;3152;1123-00000564;;123,75;163.429,30C
30/11/2023;NOTA FISCAL N§ 919966 ;3152;1123-00000581;;65,43;163.494,73C
01/12/2023;NOTA FISCAL N§ 922128 ;3152;1223-00000269;;29,22;163.523,95C
01/12/2023;NOTA FISCAL N§ 922127 ;3152;1223-00000293;;270,63;163.794,58C
01/12/2023;NOTA FISCAL N§ 922128 ;3152;1223-00000318;;336,66;164.131,24C
04/12/2023;NOTA FISCAL N§ 923763 ;3152;1223-00000271;;161,94;164.293,18C
04/12/2023;NOTA FISCAL N§ 923757 ;3152;1223-00000288;;753,72;165.046,90C
04/12/2023;NOTA FISCAL N§ 923759 ;3152;1223-00000296;;89,9;165.136,80C
04/12/2023;NOTA FISCAL N§ 923760 ;3152;1223-00000300;;154,3;165.291,10C
04/12/2023;NOTA FISCAL N§ 923761 ;3152;1223-00000313;;182,73;165.473,83C
04/12/2023;NOTA FISCAL N§ 923758 ;3152;1223-00000314;;1.370,81;166.844,64C
04/12/2023;NOTA FISCAL N§ 923762 ;3152;1223-00000316;;83,42;166.928,06C
04/12/2023;NOTA FISCAL N§ 922126 ;3152;1223-00000334;;11,24;166.939,30C
05/12/2023;NOTA FISCAL N§ 928903 ;3152;1223-00000297;;34,36;166.973,66C
05/12/2023;NOTA FISCAL N§ 926585 ;3152;1223-00000301;;115,11;167.088,77C
05/12/2023;NOTA FISCAL N§ 926586 ;3152;1223-00000308;;119,67;167.208,44C
05/12/2023;NOTA FISCAL N§ 926587 ;3152;1223-00000321;;209,27;167.417,71C
05/12/2023;NOTA FISCAL N§ 928904 ;3152;1223-00000328;;89,42;167.507,13C
06/12/2023;NOTA FISCAL N§ 929948 ;3152;1223-00000294;;266,97;167.774,10C
06/12/2023;NOTA FISCAL N§ 929949 ;3152;1223-00000303;;461,37;168.235,47C
06/12/2023;NOTA FISCAL N§ 926588 ;3152;1223-00000338;;121,35;168.356,82C
06/12/2023;NOTA FISCAL N§ 929947 ;3152;1223-00000341;;107,4;168.464,22C
07/12/2023;NOTA FISCAL N§ 932156 ;3152;1223-00000265;;113,77;168.577,99C
07/12/2023;NOTA FISCAL N§ 932153 ;3152;1223-00000287;;41,08;168.619,07C
07/12/2023;NOTA FISCAL N§ 932152 ;3152;1223-00000289;;221,65;168.840,72C
07/12/2023;NOTA FISCAL N§ 932154 ;3152;1223-00000291;;57,2;168.897,92C
07/12/2023;NOTA FISCAL N§ 932150 ;3152;1223-00000298;;964,35;169.862,27C
07/12/2023;NOTA FISCAL N§ 932151 ;3152;1223-00000307;;169,68;170.031,95C
07/12/2023;NOTA FISCAL N§ 932155 ;3152;1223-00000309;;40,24;170.072,19C
07/12/2023;NOTA FISCAL N§ 932156 ;3152;1223-00000311;;105,92;170.178,11C
07/12/2023;NOTA FISCAL N§ 932157 ;3152;1223-00000317;;166,19;170.344,30C
08/12/2023;NOTA FISCAL N§ 934788 ;3152;1223-00000263;;784,58;171.128,88C
08/12/2023;NOTA FISCAL N§ 934782 ;3152;1223-00000264;;66,43;171.195,31C
08/12/2023;NOTA FISCAL N§ 934787 ;3152;1223-00000267;;78,73;171.274,04C
08/12/2023;NOTA FISCAL N§ 934789 ;3152;1223-00000272;;1.076,79;172.350,83C
08/12/2023;NOTA FISCAL N§ 934788 ;3152;1223-00000302;;135,75;172.486,58C
08/12/2023;NOTA FISCAL N§ 934784 ;3152;1223-00000323;;382,65;172.869,23C
08/12/2023;NOTA FISCAL N§ 934787 ;3152;1223-00000337;;194,34;173.063,57C
09/12/2023;NOTA FISCAL N§ 934785 ;3152;1223-00000268;;80,11;173.143,68C
09/12/2023;NOTA FISCAL N§ 934786 ;3152;1223-00000290;;204,75;173.348,43C
09/12/2023;NOTA FISCAL N§ 934783 ;3152;1223-00000324;;502,23;173.850,66C
14/12/2023;NOTA FISCAL N§ 943247 ;3152;1223-00000295;;52,87;173.903,53C
14/12/2023;NOTA FISCAL N§ 943245 ;3152;1223-00000306;;379,54;174.283,07C
14/12/2023;NOTA FISCAL N§ 943248 ;3152;1223-00000330;;349,55;174.632,62C
14/12/2023;NOTA FISCAL N§ 943246 ;3152;1223-00000342;;52,47;174.685,09C
16/12/2023;NOTA FISCAL N§ 945435 ;3152;1223-00000327;;189,77;174.874,86C
16/12/2023;NOTA FISCAL N§ 945436 ;3152;1223-00000329;;172,83;175.047,69C
18/12/2023;NOTA FISCAL N§ 949350 ;3152;1223-00000292;;156,68;175.204,37C
18/12/2023;NOTA FISCAL N§ 949349 ;3152;1223-00000331;;43,79;175.248,16C
20/12/2023;NOTA FISCAL N§ 955552 ;3152;1223-00000305;;545,39;175.793,55C
20/12/2023;NOTA FISCAL N§ 955553 ;3152;1223-00000310;;83,06;175.876,61C
20/12/2023;NOTA FISCAL N§ 955554 ;3152;1223-00000319;;506,76;176.383,37C
20/12/2023;NOTA FISCAL N§ 947549 ;3152;1223-00000335;;303,95;176.687,32C
20/12/2023;NOTA FISCAL N§ 955555 ;3152;1223-00000336;;420,58;177.107,90C
21/12/2023;NOTA FISCAL N§ 957902 ;3152;1223-00000299;;26,42;177.134,32C
21/12/2023;NOTA FISCAL N§ 957901 ;3152;1223-00000312;;43,92;177.178,24C
21/12/2023;NOTA FISCAL N§ 957899 ;3152;1223-00000315;;84,08;177.262,32C
21/12/2023;NOTA FISCAL N§ 957900 ;3152;1223-00000322;;53,49;177.315,81C
21/12/2023;NOTA FISCAL N§ 957898 ;3152;1223-00000332;;433,4;177.749,21C
22/12/2023;NOTA FISCAL N§ 960432 ;3152;1223-00000333;;10,11;177.759,32C
23/12/2023;NOTA FISCAL N§ 962211 ;3152;1223-00000261;;633,52;178.392,84C
23/12/2023;NOTA FISCAL N§ 962213 ;3152;1223-00000325;;265,15;178.657,99C
23/12/2023;NOTA FISCAL N§ 962212 ;3152;1223-00000339;;55,22;178.713,21C
23/12/2023;NOTA FISCAL N§ 962211 ;3152;1223-00000340;;934,38;179.647,59C
27/12/2023;NOTA FISCAL N§ 964217 ;3152;1223-00000320;;105,09;179.752,68C
27/12/2023;NOTA FISCAL N§ 964218 ;3152;1223-00000326;;227,88;179.980,56C
28/12/2023;NOTA FISCAL N§ 964216 ;3152;1223-00000304;;124,43;180.104,99C
01/01/2024;PAGAMENTO DUPLICATA N§ 874546 ;92;0124-00000854;40,98;;180.064,01C
01/01/2024;PAGAMENTO DUPLICATA N§ 874547 ;92;0124-00000855;140,73;;179.923,28C
01/01/2024;PAGAMENTO DUPLICATA N§ 874548 ;92;0124-00000856;208,89;;179.714,39C
01/01/2024;PAGAMENTO DUPLICATA N§ 874549 ;92;0124-00000857;93,75;;179.620,64C
02/01/2024;PAGAMENTO DUPLICATA N§ 871663 ;92;0124-00000852;64,5;;179.556,14C
02/01/2024;PAGAMENTO DUPLICATA N§ 877928 ;92;0124-00000858;4.744,03;;174.812,11C
02/01/2024;PAGAMENTO DUPLICATA N§ 877930 ;92;0124-00000860;424,95;;174.387,16C
03/01/2024;PAGAMENTO DUPLICATA N§ 880248 ;92;0124-00000861;2.129,47;;172.257,69C
04/01/2024;PAGAMENTO DUPLICATA N§ 883574 ;92;0124-00000862;52,25;;172.205,44C
05/01/2024;PAGAMENTO DUPLICATA N§ 885986 ;92;0124-00000864;77,73;;172.127,71C
06/01/2024;PAGAMENTO DUPLICATA N§ 877929 ;92;0124-00000859;210,77;;171.916,94C
07/01/2024;NOTA FISCAL N§ 979395 ;3152;0124-00001136;;173,89;172.090,83C
08/01/2024;PAGAMENTO DUPLICATA N§ 883575 ;92;0124-00000863;210,89;;171.879,94C
08/01/2024;PAGAMENTO DUPLICATA N§ 888128 ;92;0124-00000865;120,28;;171.759,66C
08/01/2024;PAGAMENTO DUPLICATA N§ 888129 ;92;0124-00000866;184,06;;171.575,60C
08/01/2024;PAGAMENTO DUPLICATA N§ 888130 ;92;0124-00000867;184,21;;171.391,39C
08/01/2024;PAGAMENTO DUPLICATA N§ 888131 ;92;0124-00000868;95,34;;171.296,05C
09/01/2024;PAGAMENTO DUPLICATA N§ 892277 ;92;0124-00000870;194,15;;171.101,90C
09/01/2024;PAGAMENTO DUPLICATA N§ 892278 ;92;0124-00000871;105,2;;170.996,70C
09/01/2024;PAGAMENTO DUPLICATA N§ 892279 ;92;0124-00000872;218,98;;170.777,72C
09/01/2024;PAGAMENTO DUPLICATA N§ 892280 ;92;0124-00000873;76,44;;170.701,28C
09/01/2024;PAGAMENTO DUPLICATA N§ 892281 ;92;0124-00000874;103,34;;170.597,94C
10/01/2024;NOTA FISCAL N§ 981214 ;3152;0124-00001156;;99,73;170.697,67C
10/01/2024;NOTA FISCAL N§ 981213 ;3152;0124-00001170;;77,15;170.774,82C
10/01/2024;NOTA FISCAL N§ 981212 ;3152;0124-00001179;;99,73;170.874,55C
11/01/2024;PAGAMENTO DUPLICATA N§ 895238 ;92;0124-00000877;1.028,57;;169.845,98C
11/01/2024;PAGAMENTO DUPLICATA N§ 895239 ;92;0124-00000878;334,64;;169.511,34C
11/01/2024;PAGAMENTO DUPLICATA N§ 895240 ;92;0124-00000879;17,47;;169.493,87C
11/01/2024;PAGAMENTO DUPLICATA N§ 895241 ;92;0124-00000880;53,76;;169.440,11C
11/01/2024;PAGAMENTO DUPLICATA N§ 895242 ;92;0124-00000881;170,28;;169.269,83C
11/01/2024;NOTA FISCAL N§ 986362 ;3152;0124-00001146;;11,01;169.280,84C
11/01/2024;NOTA FISCAL N§ 986361 ;3152;0124-00001151;;447,72;169.728,56C
11/01/2024;NOTA FISCAL N§ 986363 ;3152;0124-00001160;;99,73;169.828,29C
12/01/2024;PAGAMENTO DUPLICATA N§ 888132 ;92;0124-00000869;58,81;;169.769,48C
12/01/2024;PAGAMENTO DUPLICATA N§ 899204 ;92;0124-00000882;840,07;;168.929,41C
12/01/2024;PAGAMENTO DUPLICATA N§ 899205 ;92;0124-00000883;23,49;;168.905,92C
12/01/2024;PAGAMENTO DUPLICATA N§ 899207 ;92;0124-00000884;243,75;;168.662,17C
12/01/2024;NOTA FISCAL N§ 988870 ;3152;0124-00001128;;370,64;169.032,81C
13/01/2024;PAGAMENTO DUPLICATA N§ 892282 ;92;0124-00000875;22,67;;169.010,14C
13/01/2024;PAGAMENTO DUPLICATA N§ 892283 ;92;0124-00000876;83,87;;168.926,27C
13/01/2024;NOTA FISCAL N§ 990740 ;3152;0124-00001107;;45,38;168.971,65C
13/01/2024;NOTA FISCAL N§ 990741 ;3152;0124-00001118;;510,55;169.482,20C
13/01/2024;NOTA FISCAL N§ 990737 ;3152;0124-00001119;;338,94;169.821,14C
13/01/2024;NOTA FISCAL N§ 990743 ;3152;0124-00001147;;321,85;170.142,99C
13/01/2024;NOTA FISCAL N§ 990744 ;3152;0124-00001162;;69,18;170.212,17C
13/01/2024;NOTA FISCAL N§ 990742 ;3152;0124-00001169;;177,41;170.389,58C
13/01/2024;NOTA FISCAL N§ 990746 ;3152;0124-00001173;;108,54;170.498,12C
13/01/2024;NOTA FISCAL N§ 990738 ;3152;0124-00001178;;266,25;170.764,37C
15/01/2024;PAGAMENTO DUPLICATA N§ 902019 ;92;0124-00000885;19,15;;170.745,22C
15/01/2024;PAGAMENTO DUPLICATA N§ 902020 ;92;0124-00000886;123,14;;170.622,08C
15/01/2024;PAGAMENTO DUPLICATA N§ 902021 ;92;0124-00000887;110,61;;170.511,47C
15/01/2024;PAGAMENTO DUPLICATA N§ 902023 ;92;0124-00000889;18,49;;170.492,98C
15/01/2024;NOTA FISCAL N§ 990739 ;3152;0124-00001112;;37,54;170.530,52C
15/01/2024;NOTA FISCAL N§ 990745 ;3152;0124-00001130;;1.017,06;171.547,58C
